model_id,nfolds,score_tree_interval,fold_assignment,balance_classes,max_after_balance_size,max_hit_ratio_k,ntrees,max_depth,min_rows,nbins,nbins_top_level,nbins_cats,stopping_rounds,stopping_metric,stopping_tolerance,seed,mtries,sample_rate,min_split_improvement,histogram_type,categorical_encoding,distribution
DRF_1_AutoML_20190418_162739,5,0,modulo,FALSE,5,0,50,20,1,20,1024,1024,0,AUTO,0.006802092,1.04E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_162739,5,0,modulo,FALSE,5,0,50,20,1,20,1024,1024,0,AUTO,0.006802092,1.04E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_163635,5,0,modulo,FALSE,5,0,34,20,1,20,1024,1024,0,AUTO,0.006802092,-8.83E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_163862,5,0,modulo,FALSE,5,0,50,20,1,20,1024,1024,0,AUTO,0.006802092,1.04E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_165439,5,0,modulo,FALSE,5,0,42,20,1,20,1024,1024,0,AUTO,0.006802092,6.81E+17,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_163635,5,0,modulo,FALSE,5,0,34,20,1,20,1024,1024,0,AUTO,0.006802092,-8.83E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_172432,5,0,modulo,FALSE,5,0,41,20,1,20,1024,1024,0,AUTO,0.006802092,1.21E+16,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_162739,5,0,modulo,FALSE,5,0,50,20,1,20,1024,1024,0,AUTO,0.006802092,1.04E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_165439,5,0,modulo,FALSE,5,0,42,20,1,20,1024,1024,0,AUTO,0.006802092,6.81E+17,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_163635,5,0,modulo,FALSE,5,0,34,20,1,20,1024,1024,0,AUTO,0.006802092,-8.83E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_172432,5,0,modulo,FALSE,5,0,41,20,1,20,1024,1024,0,AUTO,0.006802092,1.21E+16,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_162739,5,0,modulo,FALSE,5,0,50,20,1,20,1024,1024,0,AUTO,0.006802092,1.04E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_165439,5,0,modulo,FALSE,5,0,42,20,1,20,1024,1024,0,AUTO,0.006802092,6.81E+17,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_163635,5,0,modulo,FALSE,5,0,34,20,1,20,1024,1024,0,AUTO,0.006802092,-8.83E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
DRF_1_AutoML_20190418_181012,5,0,modulo,FALSE,5,0,42,20,1,20,1024,1024,0,AUTO,0.006802092,1.96E+18,-1,0.632000029,1.00E-05,AUTO,AUTO,gaussian
